System_name_display,popID
Adam River,52698
Adams River,46246
Adams River-Upper,46256
Ahbau Creek,47287
Ahnuhati River,50898
Ahta River,50988
Albreda River,290
Alouette River,294
Amai Creek,41843
Amor De Cosmos Creek,52738
Anderson River,47156
Angus Creek,48792
Antler Creek,47457
Apple River,50658
Artlish River,41873
Ashlu Creek,50034
Atleo River,41133
Ayum Creek,40133
Bad River (James Creek),47397
Baezaeko River,44752
Baker Creek,47267
Barriere River,46608
Battle Bay River,39698
Bedwell System,45190
Benson River,44802
Bessette Creek,46548
Big Silver Creek,46076
Birkenhead River,46101
Black Creek,41603
Black Creek,53018
Blue River,46801
Bonaparte River,46206
Bonell Creek,51448
Bowron River,47427
Branch 100 Creek,50039
Brem River,50508
Brem River Tributary,50518
Bridge River,47229
Brittain River,48922
Brodick Creek,41643
Brothers Creek,49878
Burman River,41328
Cachalot Creek,41823
Campbell River,586
Campbell River,52918
Campus Creek,40408
Canoe Pass Creek,40728
Canton Creek,41448
Capilano River,49873
Captain Creek,47387
Cariboo River,46891
Cariboo River-Upper,46892
Carlson Creek,48762
Carnation Creek,40478
Cataract Creek,40768
Caycuse River,40398
Cayeghle System,44792
Chamiss Creek,39628
Chapman Creek,48672
Charters River,40183
Cheakamus River,49989
Chehalis River,46042
Chemainus River,39984
Chilako River,46011
Chilcotin River-Lower,46842
Chilcotin River-Upper,46841
Chilko River,46851
Chilliwack,46985
Chilliwack/Vedder River,696
China Creek,40528
Chuk-Chuk Creek,50059
Chum Creek,41753
Churn Creek,47238
Clanninick Creek,39658
Clayoquot River-Lower,52153
Clayoquot River-Upper,52163
Clearwater River,46688
Clemens Creek,131
Cluxewe River,52603
Coeur D'Alene Creek,40698
Cogburn Creek,46068
Coldwater River,46196
Coleman Creek,40508
Consinka Creek,40488
Conuma River,41438
Cottonwood River-Lower,47277
Cougar Creek,41413
Cous Creek,40593
Cowichan River,40023
Creighton Creek,812
Cumsack Creek,50578
Cypre River,52338
De Mamiel Creek,40163
Deadman River,46216
Deer Creek,40569
Denad Creek,42343
Deserted Creek,41468
Dome Creek,47487
Doobah Creek,40373
Douglas Creek,46087
Drew Creek,52858
Driftwood River,45599
Drinkwater Creek,40583
Driscoll Creek,125
Dunn Creek,46658
Duteau Creek,46568
Eagle River,46366
East Creek,39738
East Twin Creek,926
Easy Creek,40888
Effingham River,40708
Elaine Creek,40898
Eliza Creek,41783
Eliza East River,41773
Elkin Creek,46871
Endako River,45510
Englishman River,51418
Espinosa Creek,41743
Eve River,52708
Fanny Bay Creek,50628
Finn Creek,46790
Fontoniko Creek,47407
Forgetmenot Creek,44961
Franklin River,40518
Franklin River,50868
Fraser River-Above Tete Jaune,44549
Frazer Creek,50678
Fulmore River,50738
Galato Creek,42353
Gates River,47219
Glendale Creek,50848
Goat River,47538
Gold River,41348
Goldstream River,40053
Goodspeed River,42173
Gordon River,40323
Granite Bay Creek,52868
Green River,46111
Haggen Creek,47437
Harris Creek,40293
Harris Creek,46578
Harrison River,46034
Haslam Creek,51528
Hastings Creek,49858
Henderson Lake Creek,40648
Herrick Creek,47377
Heydon Creek,50688
Hoiss Creek,41478
Holliday Creek,1207
Holmes River,46931
Homathko River,50568
Horsefly River,46901
Horsey Creek,46951
Houston River,41308
Humbug Creek,1269
Ice Creek,3075
Ice River,41198
Indian River,49828
Indianpoint Creek,47447
Inner Basin River,41593
Itatsoo Creek,39588
Jacklah River,41318
Jansen Lake Creek,39618
July Creek,50054
Kakweiken River,50978
Kaouk River,41863
Kapoose Creek,41813
Kashutl River,40878
Kauwinch River,40868
Kazchek Creek,45567
Keith River,39778
Kendrick Creek,41538
Kennedy Lake Beaches,52088
Kennedy Lake Feeder Streams,52098
Kennedy River-Lower,52118
Kennedy River-Upper,52108
Kenneth Creek,47467
Keogh River,52593
Kingcome River,51098
Klanawa River,40418
Klaskish River,39748
Klayina Creek,42333
Kleeptee Creek,41393
Klinaklini River,50878
Klite River,50468
Klootchlimmis Creek,39848
Kokish River,52663
Koksilah River,40033
Kuzkwa River,45555
Kwalate Creek,50908
Lang Creek,49002
Leiner River,41498
Lemieux Creek,46648
Lens Creek,40313
Lightning Creek,47297
Lillooet River,44538
Little Qualicum River,51388
Little River,46236
Little Toba River,50478
Little Toquart Creek,39538
Little Zeballos River,41683
Louis Creek,46598
Lucky Creek,40788
Lynn Creek,49853
Lyon Creek,46780
Macktush Creek,40608
Mad River,46730
Maggie River,39548
Mahatta Creek,39808
Mahood River,46708
Malksope River,39668
Mamat Creek,41733
Mamquam River,49933
Mamquam Spawning Channel,49969
Mann Creek,46678
Marble River,39958
Maria Slough,47096
Marvinas Bay Creek,41548
Mashiter Creek,49963
Mccurdy Creek,41383
Mcgregor River,47347
Mckale River,47548
Mckay Cove Creek,39648
Mckercher Creek,52848
Mckinley Creek,45051
Mcnab Creek,50108
Mctaggart Creek,46668
Megin River,41178
Menzies Creek,52898
Mercantile Creek,39608
Mesachie Creek,164
Middle River,44564
Mitchell River,1756
Mohun Creek,52908
Mooyah River,41288
Morkill River,47528
Morrison Creek,53108
Moyeha River,41123
Muchalat River,41364
Muriel Lake,52138
Nahatlatch River,47165
Nahmint River,40618
Nahwitti River,52528
Nanaimo River,51518
Nanaimo River,51519
Nanaimo River-Upper,3333
Nanoose Creek,51438
Napoleon Creek,45722
Narcosli Creek,47257
Narrowgut Creek,41833
Nasparti River,39708
Naver Creek,47307
Nazko River,44762
Nechako River,46001
Nevin Creek,46941
Nicola River,46176
Nicola River-Upper,44742
Nicomekl River,1840
Nile Creek,51358
Nimpkish River,52633
Nitinat River,40363
Noons Creek,49813
North Thompson River,46588
Okanagan River,48442
Oktwanch River,41373
Orford River,50538
Ormond Creek,46024
Otter Creek,47367
Ououkinsh River,39678
Owossitsa Creek,41623
Oyster River,52998
Park River,41763
Patricia Creek,214
Pender Harbour Creek,48717
Phillips River,50618
Pinchi Creek,45547
Pipestem Creek,40778
